Store,Dept,Date,Predicted_Weekly_Sales
1,1,2012-11-02,28446.787
1,1,2012-11-09,16755.602
1,1,2012-11-16,20535.365
1,1,2012-11-23,21222.246
1,1,2012-11-30,29617.66
1,1,2012-12-07,28593.809
1,1,2012-12-14,40210.547
1,1,2012-12-21,45944.24
1,1,2012-12-28,21325.895
1,1,2013-01-04,18001.553
1,1,2013-01-11,18234.715
1,1,2013-01-18,17667.275
1,1,2013-01-25,17304.062
1,1,2013-02-01,20323.262
1,1,2013-02-08,28150.44
1,1,2013-02-15,33380.97
1,1,2013-02-22,23125.205
1,1,2013-03-01,18805.71
1,1,2013-03-08,21364.838
1,1,2013-03-15,21118.3
1,1,2013-03-22,22359.627
1,1,2013-03-29,26786.021
1,1,2013-04-05,38946.96
1,1,2013-04-12,27391.006
1,1,2013-04-19,20945.205
1,1,2013-04-26,20533.139
1,1,2013-05-03,17969.771
1,1,2013-05-10,17690.162
1,1,2013-05-17,16652.754
1,1,2013-05-24,18113.91
1,1,2013-05-31,17797.787
1,1,2013-06-07,16527.422
1,1,2013-06-14,16964.643
1,1,2013-06-21,16935.15
1,1,2013-06-28,15920.407
1,1,2013-07-05,17579.504
1,1,2013-07-12,16884.863
1,1,2013-07-19,16127.396
1,1,2013-07-26,16958.154
1,2,2012-11-02,43938.043
1,2,2012-11-09,45473.598
1,2,2012-11-16,43477.133
1,2,2012-11-23,44102.44
1,2,2012-11-30,48527.836
1,2,2012-12-07,42899.863
1,2,2012-12-14,45991.586
1,2,2012-12-21,52133.47
1,2,2012-12-28,40960.14
1,2,2013-01-04,42176.97
1,2,2013-01-11,43314.797
1,2,2013-01-18,41403.07
1,2,2013-01-25,41182.336
1,2,2013-02-01,45069.105
1,2,2013-02-08,46239.945
1,2,2013-02-15,45908.555
1,2,2013-02-22,45341.297
1,2,2013-03-01,44350.977
1,2,2013-03-08,44382.105
1,2,2013-03-15,44160.316
1,2,2013-03-22,44665.582
1,2,2013-03-29,44440.78
1,2,2013-04-05,45703.95
1,2,2013-04-12,43747.195
1,2,2013-04-19,43577.344
1,2,2013-04-26,43416.5
1,2,2013-05-03,45616.52
1,2,2013-05-10,45137.63
1,2,2013-05-17,45644.96
1,2,2013-05-24,46836.52
1,2,2013-05-31,46351.004
1,2,2013-06-07,45498.844
1,2,2013-06-14,45687.254
1,2,2013-06-21,45657.766
1,2,2013-06-28,45301.258
1,2,2013-07-05,47338.652
